ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746671076.194129,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671079.178595,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671082.251104,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671085.2393239,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671088.223131,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671091.213562,-200.0,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671094.208171,-64.2,494,100.0,Silence,0,0.1,Speech,132,0.0,Music
1746671097.186185,-49.9,500,62.1,"Inside, small room",473,49.7,"Crumpling, crinkling",293,20.9,Crackle
1746671100.257289,-49.7,500,51.8,"Inside, small room",473,41.6,"Crumpling, crinkling",374,32.9,Coin (dropping)
1746671103.2448971,-51.7,494,98.0,Silence,500,0.2,"Inside, small room",0,0.2,Speech
1746671106.231485,-56.5,494,91.0,Silence,500,3.5,"Inside, small room",0,0.2,Speech
1746671109.218046,-43.5,348,39.1,Door,351,23.1,Sliding door,500,19.5,"Inside, small room"
1746671112.204886,-54.1,494,63.2,Silence,500,14.9,"Inside, small room",381,14.6,Writing
1746671115.191566,-55.3,494,99.9,Silence,0,0.0,Speech,132,0.0,Music
1746671124.2358458,-48.5,494,53.1,Silence,398,4.3,Mechanisms,406,3.3,Mechanical fan
1746671127.2231622,-49.2,494,78.8,Silence,500,4.1,"Inside, small room",485,0.5,Clicking
1746671130.209898,-55.6,494,83.1,Silence,0,1.9,Speech,500,1.7,"Inside, small room"
1746671133.193716,-45.0,500,35.8,"Inside, small room",501,10.4,"Inside, large room or hall",348,8.9,Door
1746671136.183132,-45.9,500,52.2,"Inside, small room",501,3.7,"Inside, large room or hall",348,3.6,Door
1746671139.2538052,-50.9,500,43.1,"Inside, small room",68,22.4,"Domestic animals, pets",67,16.2,Animal
1746671142.242197,-56.3,494,99.9,Silence,0,0.1,Speech,132,0.0,Music
1746671145.228802,-43.4,500,65.3,"Inside, small room",357,11.5,Drawer open or close,501,7.9,"Inside, large room or hall"
1746671148.212414,-52.6,348,39.7,Door,352,39.6,Slam,452,26.4,Arrow
1746671151.201926,-58.4,494,100.0,Silence,0,0.0,Speech,132,0.0,Music
1746671154.188833,-51.8,0,68.6,Speech,500,3.6,"Inside, small room",485,2.7,Clicking
